fec;pet;eur;oro;dol;c18;c36;ibe
180618;75.34;3355.94;1331.10;2890.06;48.000;52.000;9769.40
190618;75.08;3375.40;1329.20;2919.14;48.249;52.197;9755.40
200618;74.74;3394.12;1325.30;2931.78;48.556;52.422;9788.90
210618;73.05;3384.88;1321.00;2916.49;48.895;52.648;9702.10
220618;75.55;3426.89;1321.30;2944.82;49.236;52.846;9792.10
230618;76.30;3395.93;1323.65;2918.22;49.552;52.989;9791.49
240618;75.20;3395.93;1324.15;2918.22;49.816;53.050;9694.90
250618;74.73;3409.94;1319.20;2918.22;50.000;53.000;9617.90
260618;76.31;3414.83;1309.60;2927.67;50.082;52.823;9637.40
270618;77.62;3390.20;1305.70;2924.10;50.069;52.545;9658.60
280618;77.85;3397.75;1300.20;2934.91;49.972;52.206;9589.00
290618;79.44;3438.10;1303.90;2945.09;49.805;51.844;9622.70
300618;79.46;3421.42;1294.73;2930.80;49.579;51.497;9605.65
10718;78.21;3421.42;1282.85;2930.80;49.306;51.203;9553.65
20718;77.30;3401.19;1289.90;2930.80;49.000;51.000;9558.30
30718;77.76;3413.80;1302.40;2930.80;48.673;50.917;9660.90
40718;78.24;3387.92;1258.10;2909.83;48.337;50.944;9757.50
50718;77.39;3405.08;1307.60;2909.83;48.006;51.060;9866.20
60718;77.11;3392.23;1304.80;2885.53;47.694;51.244;9905.00
70718;76.76;3371.55;1297.51;2867.94;47.413;51.476;9915.99
80718;76.76;3371.55;1302.86;2867.94;47.178;51.734;9921.52
90718;78.07;3372.12;1309.00;2867.94;47.000;52.000;9927.00
100718;78.86;3376.35;1305.10;2881.09;46.889;52.254;9889.30
110718;73.40;3366.71;1293.30;2872.62;46.837;52.485;9733.60
120718;74.45;3364.82;1295.40;2880.10;46.830;52.685;9767.40
130718;75.33;3362.16;1289.70;2882.02;46.856;52.845;9734.80
140718;74.39;3338.46;1289.72;2861.70;46.902;52.957;9708.94
150718;72.85;3338.46;1292.74;2861.70;46.954;53.011;9712.20
160718;71.84;3349.91;1288.20;2861.70;47.000;53.000;9716.90
170718;72.16;3351.52;1275.30;2868.96;47.030;52.919;9719.40
180718;72.90;3350.61;1275.70;2878.28;47.044;52.784;9753.20
190718;72.58;3340.40;1271.10;2876.93;47.046;52.615;9721.10
200718;73.07;3375.79;1277.50;2883.81;47.039;52.432;9724.80
210718;73.26;3375.79;1279.74;2883.81;47.026;52.255;9713.22
220718;73.10;3375.79;1276.05;2883.81;47.012;52.104;9698.70
230718;73.06;3374.92;1271.40;2883.81;47.000;52.000;9726.10
240718;73.44;3391.50;1271.50;2897.73;46.992;51.956;9773.10
250718;73.93;3382.97;1277.40;2898.36;46.988;51.959;9703.10
260718;74.54;3360.81;1271.80;2882.84;46.987;51.990;9780.00
270718;74.29;3362.72;1269.30;2886.21;46.989;52.029;9867.90
280718;74.35;3356.41;1267.86;2880.79;46.992;52.057;9883.89
290718;74.74;3356.41;1266.87;2880.79;46.996;52.054;9862.05
300718;74.97;3373.41;1268.00;2880.79;47.000;52.000;9854.10
310718;74.25;3364.30;1270.10;2875.72;47.003;51.883;9870.70
10818;72.39;3369.18;1264.30;2886.80;47.004;51.720;9799.30
20818;73.45;3358.62;1256.50;2892.62;47.005;51.532;9698.20
30818;73.21;3366.49;1259.70;2904.90;47.005;51.344;9739.80
40818;72.68;3359.64;1260.29;2898.99;47.004;51.177;9747.06
50818;72.76;3359.64;1257.06;2898.99;47.002;51.054;9717.74
60818;73.75;3350.36;1254.10;2898.99;47.000;51.000;9722.70
70818;74.65;3360.07;1254.70;2898.86;46.998;51.029;9772.80
80818;72.28;3363.26;1257.30;2898.86;46.995;51.129;9747.10
90818;72.07;3365.89;1256.30;2908.90;46.993;51.280;9754.60
100818;72.81;3337.21;1255.10;2919.44;46.992;51.463;9602.10
110818;72.93;3361.80;1247.28;2940.95;46.993;51.657;9508.65
120818;72.68;3361.80;1237.57;2940.95;46.995;51.842;9503.99
130818;72.61;3357.09;1234.60;2940.95;47.000;52.000;9530.40
140818;72.46;3393.03;1236.40;2983.93;47.007;52.114;9507.00
150818;70.76;3396.31;1220.20;3002.66;47.016;52.184;9386.80
160818;71.43;3470.26;1219.20;3046.76;47.023;52.213;9427.40
170818;71.83;3444.70;1219.30;3019.55;47.027;52.206;9417.30
180818;72.03;3449.80;1220.98;3024.02;47.026;52.165;9400.32
190818;72.21;3449.80;1224.92;3024.02;47.017;52.095;9414.76
200818;72.21;3456.76;1229.60;3024.02;47.000;52.000;9468.60
210818;72.63;3483.07;1234.90;3024.02;46.973;51.883;9549.00
220818;74.78;3468.41;1238.20;2990.78;46.943;51.749;9580.20
230818;74.73;3432.21;1228.40;2965.45;46.916;51.603;9567.30
240818;75.82;3465.29;1248.20;2980.64;46.901;51.450;9589.50
250818;76.63;3439.49;1259.44;2958.45;46.905;51.295;9634.57
260818;76.66;3439.49;1256.93;2958.45;46.935;51.143;9668.70
270818;76.21;3452.22;1251.20;2958.45;47.000;51.000;9659.80
280818;75.95;3436.66;1249.60;2934.31;47.103;50.871;9606.50
290818;77.14;3467.85;1246.50;2966.00;47.237;50.766;9569.50
300818;77.77;3496.30;1239.50;2999.57;47.392;50.697;9467.60
310818;77.42;3522.07;1241.10;3027.39;47.556;50.674;9399.10
10918;77.39;3552.02;1225.23;3053.14;47.719;50.710;9369.65
20918;77.74;3552.02;1204.90;3053.14;47.871;50.815;9364.91
30918;78.15;3549.28;1206.30;3053.14;48.000;51.000;9376.10
40918;78.17;3527.60;1233.60;3053.14;48.098;51.270;9376.30
50918;77.27;3590.04;1236.00;3088.47;48.164;51.598;9301.30
60918;76.50;3605.73;1239.10;3100.37;48.197;51.954;9208.70
70918;76.83;3578.22;1235.50;3089.47;48.197;52.305;9171.20
80918;76.82;3555.85;1233.22;3070.15;48.164;52.617;9189.55
90918;76.72;3555.85;1233.83;3070.15;48.098;52.860;9233.86
100918;77.37;3562.30;1235.00;3070.15;48.000;53.000;9270.80
110918;79.06;3555.70;1237.60;3069.49;47.871;53.016;9284.10
120918;79.74;3589.18;1246.60;3087.73;47.719;52.928;9306.80
130918;78.18;3566.11;1243.80;3055.01;47.556;52.766;9329.20
140918;78.09;3522.11;1236.60;3019.38;47.392;52.562;9365.30
150918;78.01;3522.11;1236.40;3026.05;47.237;52.346;9380.17
160918;77.78;3530.10;1240.14;3026.05;47.103;52.148;9384.30
170918;78.05;3527.50;1241.20;3026.05;47.000;52.000;9404.60
180918;79.03;3517.00;1238.30;3013.38;46.936;51.923;9447.50
190918;79.40;3537.50;1244.10;3007.03;46.905;51.906;9486.30
200918;78.70;3539.00;1247.00;3018.63;46.901;51.928;9583.70
210918;78.80;3524.00;1236.90;3014.18;46.916;51.969;9590.40
220918;79.40;3524.00;1232.78;3006.96;46.943;52.009;9567.08
230918;80.23;3534.40;1235.69;3006.96;46.973;52.026;9541.47
240918;81.20;3527.50;1240.00;3006.96;47.000;52.000;9512.80
250918;81.87;3534.50;1240.80;2991.90;47.017;51.917;9493.60
260918;81.34;3521.50;1234.40;3001.88;47.025;51.788;9524.80
270918;81.72;3477.00;1222.40;3000.14;47.026;51.628;9527.50
280918;82.72;3439.50;1231.30;2989.58;47.022;51.453;9389.20
290918;83.93;3439.50;1230.85;2972.18;47.015;51.279;9365.21
300918;84.87;3458.00;1223.96;2972.18;47.007;51.123;9418.43
11018;84.98;3473.00;1227.00;2972.18;47.000;51.000;9407.00
21018;84.80;3485.50;1242.70;2993.74;46.996;50.923;9305.50
31018;86.29;3462.00;1238.70;3005.50;46.995;50.886;9361.10
41018;84.58;3494.50;1237.50;3012.65;46.995;50.881;9314.50
51018;84.16;3495.00;1242.20;3028.16;46.997;50.899;9253.90
61018;83.78;3495.00;1237.89;3031.31;46.998;50.931;9198.78
71018;83.40;3487.50;1228.80;3031.31;47.000;50.967;9169.02
81018;83.91;3501.00;1224.90;3031.31;47.000;51.000;9199.20
